Day,Country,City,Street,Cause,Avg Length (Meters),Avg Delay (Seconds),Impacted Wazers
9 may 2024,CI,San Pedro de la Paz,Ruta 160,null,2343.9901960784314,910.1666666666666,20021
1 sept 2023,CI,Hualpén,Av. Jorge Alessandri,null,1974,660.8333333333334,19806
3 dic 2023,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,1546.359375,354.6640625,19787
5 abr 2024,CI,San Pedro de la Paz,Ruta 160,null,3246.6493506493507,1773.4545454545455,19722
11 mar 2024,CI,San Pedro de la Paz,Ruta 160,null,3492.2622950819673,2384.5737704918033,19634
27 sept 2023,CI,San Pedro de la Paz,Ruta 160,null,2327.3796296296296,666.3611111111111,19504
20 mar 2024,CI,San Pedro de la Paz,Ruta 160,null,3562.927536231884,2449.536231884058,19476
24 jun 2023,CI,Los Ángeles,Ruta 5 Sur,null,2340.888111888112,2351.6853146853146,19383
3 mar 2024,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,1822.3859649122808,571.2894736842105,19348
1 mar 2024,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,1941.27868852459,849.9672131147541,19249
1 oct 2023,CI,Talcahuano,Av. Vasco Núñez de Balboa,null,925.9320388349514,526.3349514563107,19199
7 dic 2023,CI,Concepción,Av. Paicaví,null,2415.714285714286,1166.7714285714285,19194
2 may 2024,CI,San Pedro de la Paz,Ruta 160,null,2217.3333333333335,570.1666666666666,19163
5 oct 2023,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,2410.9692307692308,741.7,19134
7 jul 2023,CI,Concepción,Av. Paicaví,null,2874.8260869565215,2023.8115942028985,19004
26 mar 2024,CI,Hualpén,Ruta 154 / Autopista Concepción-Talcahuano,null,1445.2151898734178,421.253164556962,18979
30 abr 2024,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,2416.798076923077,818.4615384615385,18957
7 jul 2023,CI,Concepción,Av. Alonso de Ribera,null,2453.2954545454545,851.8068181818181,18938
